id,name,jersey_number,team_id
4637,Ellie Roebuck,1,746
6818,Hayley Emma Raso,13,746
10163,Leila Ouahabi,15,746
10185,Stephanie Houghton,6,746
10252,Alex Greenwood,5,746
15555,Lauren Hemp,11,746
15570,Chloe Kelly,9,746
19416,Laura Coombs,7,746
25554,Khadija Monifa Shaw,21,746
25632,Yui Hasegawa,25,746
32210,Laia Aleixandri,4,746
34360,Alexandra MacIver,22,746
35693,Mary Boio Fowler,8,746
49938,Deyna Cristina Castellanos Naujenis,10,746
62666,Ingrid Filippa Angeldal,12,746
191851,Julie Blakstad,41,746
221888,Kerstin Yasmijn Casparij,2,746
5000,Stephanie-Elise Catley,7,968
5102,Sabrina Dâ€™Angelo,14,968
10229,Emma Stina Blackstenius,25,968
10237,Manuela Zinsberger,1,968
10404,Noelle Maritz,16,968
10405,Lia WÃ¤lti,13,968
10516,Frida Maanum,12,968
11338,Caitlin Jade Foord,19,968
15616,Kim Little,10,968
15620,Katie McCabe,15,968
17524,Jennifer Patricia Beattie,5,968
18999,Leah Williamson,6,968
25697,Lina Mona AndrÃ©a Hurtig,17,968
40985,Kaylan Marckese,18,968
45294,Gio,20,968
46973,Laura Wienroither,26,968
49697,Carlotte Wubben-Moy,3,968
63788,Victoria Pelova,21,968
131570,Rafaelle Leone Carvalho Souza,2,968
276443,Kathrine MÃ¸ller KÃ¼hl,22,968
4649,Esme Morgan,14,746
5078,Alanna Stephanie Kennedy,33,746
10158,Vicky Losada,17,746
4984,Rachel Corsie,6,2647
5058,Rachel Daly,8,2647
10192,Jordan Nobbs,88,2647
15421,Kenza Dali,10,2647
15562,Lucy Staniforth,12,2647
15571,Danielle Turner,14,2647
15724,Mayumi Pacheco,33,2647
18153,Alisha Lehmann,7,2647
19500,Sarah Mayling,2,2647
22032,Hannah Hampton,1,2647
25744,Emily Gielnik,9,2647
31532,Kirsty Hanson,20,2647
33675,Laura Madison Blindkilde Brown,19,2647
35406,Ruesha Littlejohn,31,2647
77717,Olivia McLoughlin,16,2647
78072,Anna Patten,15,2647
131589,Anna Jessica Leat,21,2647
4651,Demi Stokes,3,746
41812,Ruby Mace,30,746
321997,Annie Hutchings,36,746
4989,Rebekah Ashley Stott,13,965
15709,Megan Walsh,1,965
16395,Victoria Williams,20,965
16400,Kayleigh Green,15,965
17274,Poppy Pattinson,3,965
21059,Katie Robinson,22,965
23413,Megan Connolly,8,965
24281,Danielle Carter,18,965
25453,Lee Geum-Min,9,965
26094,Julia Zigiotti-Olme,10,965
34506,Park Ye-Eun,14,965
50722,Libby Bance,12,965
81579,Jorja Fox,2,965
85004,Maisie Symonds,17,965
105102,Veatriki Sarri,7,965
105103,Katie Startup,40,965
276301,Elisabeth Terland,11,965
320404,Lulu Jarvis,23,965
4648,Abbie McManus,5,2652
4865,Josie Green,14,2652
15576,Kirstie Levell,28,2652
15720,Sophie Howard,15,2652
16374,Aileen Whelan,10,2652
18155,Erin Simon,13,2652
21556,Connie Scofield,44,2652
24239,Jemma Elizabeth Purfield,23,2652
25662,Catherine Joan Bott,4,2652
31564,Molly Pike,8,2652
46739,Ellen Jones,12,2652
84765,Carrie Jones,16,2652
112522,Missy Goodwin,20,2652
135753,Samantha Tierney,3,2652
135755,Ashleigh Plumptre,22,2652
135758,Natasha Jane Flint,7,2652
135759,Shannon Oâ€™Brien,27,2652
276299,Demi Vance,2,2652
322143,Sophia Poor,35,2652
4972,Katie Stengel,24,966
10093,Yana DaniÃ«ls,20,966
10648,Shanice van de Sanden,19,966
15547,Melissa Lawley,11,966
15618,Jasmine Matthews,6,966
15630,Leigh-Anne Robe,3,966
15706,Rachel Furness,10,966
16384,Carla Humphrey,17,966
18151,Gilly Flaherty,25,966
19687,Taylor Hinds,12,966
19777,Niamh Fahey,5,966
19779,Rhiannon Roberts,4,966
23465,Megan Campbell,28,966
24237,Missy Bo Kearns,7,966
32403,Emma Wilhelmina Koivisto,2,966
33664,Rachael Laws,1,966
37173,Eartha Cumings,21,966
42834,Charlotte Wardlaw,8,966
322358,Hannah Silcock,34,966
322359,Ceri Holland,18,966
189745,Jemima Dahou,42,746
4638,Drew Spence,24,749
4848,Ashleigh Neville,29,749
5063,Chioma Ubogagu,18,749
13857,Tinja-Riikka Tellervo Korpela,1,749
15569,Kerys Harrop,6,749
15577,Angharad James,15,749
18158,Rebecca Spencer,22,749
21021,Molly Bartrip,5,749
21048,Rosella Ayane,23,749
22798,Cho So-Hyun,8,749
25610,Mana Iwabuchi,20,749
31533,Amy Turner,4,749
31551,Kit Graham,16,749
46541,Asmita Ale,13,749
63424,Nikola Karczewska,9,749
87194,Celin Bizet IldhusÃ¸y,14,749
353330,Lenna Gunning-Williams,39,749
355828,Ella Rose Houghton,37,749
